locationid,latitude,longitude,stationname,parentcity,sourceurl
1063,41.755886,86.152959,"Kongque Park, Korla",%E5%BA%93%E5%B0%94%E5%8B%92,http://aqicn.org/?city=China/%E5%BA%93%E5%B0%94%E5%8B%92/%E5%AD%94%E9%9B%80%E5%85%AC%E5%9B%AD
1064,41.733119,86.183327,"Cotton Mill, Korla",%E5%BA%93%E5%B0%94%E5%8B%92,http://aqicn.org/?city=China/%E5%BA%93%E5%B0%94%E5%8B%92/%E6%A3%89%E7%BA%BA%E5%8E%82
1065,41.712739,86.245571,"BDA, Korla",%E5%BA%93%E5%B0%94%E5%8B%92,http://aqicn.org/?city=China/%E5%BA%93%E5%B0%94%E5%8B%92/%E7%BB%8F%E6%B5%8E%E5%BC%80%E5%8F%91%E5%8C%BA
1066,45.689445,84.126445,"Baijiantan District, Karamay",china,http://aqicn.org/city/china/kelamayi/baijiantanqu/
1067,45.604135,84.888518,"Chengzheng New Village, Karamay",china,http://aqicn.org/city/china/kelamayi/changzhengxincun/
1068,44.343598,84.90652,"Dushanzi District, Karamay",china,http://aqicn.org/city/china/kelamayi/dushanziqu/
1069,46.090638,85.695354,"Wuerhequ trade buidling, Karamay",china,http://aqicn.org/city/china/kelamayi/wuerhequshangmaolou/
1070,45.600523,84.891294,"South Forestry Community, Karamay",%E5%85%8B%E6%8B%89%E7%8E%9B%E4%BE%9D,http://aqicn.org/?city=China/%E5%85%8B%E6%8B%89%E7%8E%9B%E4%BE%9D/%E5%8D%97%E6%9E%97%E5%B0%8F%E5%8C%BA
1071,45.580693,84.891611,Karamay,karamay,http://aqicn.org/city/karamay/
1072,22.627947,114.428875,Kwai Chung,shenzhen,http://aqicn.org/city/shenzhen/kuiyong/
1073,36.097676,111.518739,"City Monitoring Station, Linfen",china,http://aqicn.org/city/china/linfen/shijiancezhan/
1074,29.64868,91.131546,"City EPA, Lhasa",china,http://aqicn.org/city/china/lasa/shihuanbaoju/
1075,23.039667,113.105492,"Huicai technical school, Foshan",guangdong,http://aqicn.org/city/guangdong/fushan/huacaizhizhong/
1076,29.896155,121.541154,Wanli University,ningbo,http://aqicn.org/city/ningbo/wanlixueyuan/
